Value,Feature
0.0,is_lhp
0.0,is_strike
0.0,pitch_name
0.017150407117978782,late_inning_pressure
0.04293623916655701,release_x_deviation
0.060298072643802256,bat_control
0.07975957086123404,is_top
0.10967634919321873,strikes
0.11148159339913742,release_extension
0.1202537979364753,outs_when_up
0.13044719897916365,release_z_deviation
0.1642005544032212,pitch_type
0.18342806797844605,on_3b
0.19756412972317233,release_speed
0.1983130205382708,stance_advantage
0.2190891054909509,count_pressure_impact
0.2534456467714974,vy0
0.30995933189841307,balls
0.3190586628622185,pfx_x
0.3948843529050296,bat_pitch_speed_ratio
0.3991536719791533,pitch_bat_speed_differential
0.4011391097352194,exit_velocity_pitch_speed_ratio
0.43186036540733236,launch_angle_estimate
0.44401548052196216,approach_angle
0.45058658416579345,release_angle
0.45481444984822844,pitch_number
0.47000753631135433,vz0
0.48019365477041126,pitch_location_accuracy
0.48701971367518654,spin_axis
0.48806036770540245,bat_to_pitch_speed_ratio
0.5172171481650915,spin_efficiency
0.52407920534159,inning
0.5557461367390916,az
0.5704098072759212,movement_complexity
0.5857020907097801,on_2b
0.5914976469591007,count_pressure
0.5984357163470396,magnus_effect
0.6083858464546041,effective_speed
0.6225038878432614,horizontal_movement
0.6423946229399287,baserunner_pressure
0.6565837993880916,release_pos_x
0.65738004466582,pitch_deception_score
0.6659613597977492,vertical_movement
0.6943404356528703,tunneling_time
0.7381870423214116,pitch_location
0.7855691388145775,vertical_change
0.8588275380306029,break_time
0.8691165592086839,plate_discipline_index
0.8691246472969119,pitch_complexity
0.8797043453605715,strike_zone_coverage
0.8799099632491334,ax
0.8932468445603835,on_1b
0.9479209720468436,swing_efficiency
0.9630759864339138,batter_readiness
0.9636843750584814,ay
0.9743448865270024,pitch_speed_diff
0.9842589980176879,pitch_movement_complexity
0.9895793736124863,pfx_z
1.0055816676795386,exit_velocity_estimate
1.0115315850026196,pitch_speed_change
1.0173880827285693,batter_pitcher_matchup
1.0355281936249405,release_pos_y
1.0633186583207046,release_pos_z
1.0936362165050433,swing_decision_time
1.131296130517841,vertical_approach_effectiveness
1.139275582946098,vx0
1.1758355953821162,release_spin_rate
1.2496945994824376,sz_bot
1.3446663362199178,contact_quality_score
1.4165563521335085,horizontal_change
1.5571291141258796,bat_speed
1.6944321687605535,pitch_location_effectiveness
1.7758906215711374,swing_length
1.7987837705577054,swing_efficiency_score
1.813882015719576,plate_z
1.8349931240035224,contact_quality
1.8725974329631119,sz_top
2.290111895910855,batter_power_index
2.316555360483923,sweet_spot_probability
2.5590987023555365,swing_plane_efficiency
2.5757738995099455,power_potential
2.580312467466343,relative_height
2.794462971814432,spray_angle
2.7970153614427664,swing_aggressiveness
2.8785926287656696,contact_zone
3.6143668107591633,exit_velocity_launch_angle_ratio
3.6723108310124792,horizontal_spray_effectiveness
3.9927901297141077,batter_contact_ability
5.3410479818185435,is_lhb
8.049558255893908,plate_x
